id,identifier,generation_id,text
162,victory-star,5,Increases moves' accuracy to 1.1× for friendly Pokémon.
163,turboblaze,5,Bypasses targets' abilities if they could hinder or prevent moves.
164,teravolt,5,Bypasses targets' abilities if they could hinder or prevent moves.
165,aroma-veil,6,Protects allies against moves that affect their mental state.
166,flower-veil,6,Protects friendly Grass Pokémon from having their stats lowered by other Pokémon.
167,cheek-pouch,6,"Restores HP upon eating a Berry, in addition to the Berry's effect."
168,protean,6,Changes the bearer's type to match each move it uses.
169,fur-coat,6,Halves damage from physical attacks.
170,magician,6,Steals the target's held item when the bearer uses a damaging move.
171,bulletproof,6,"Protects against bullet, ball, and bomb-based moves."
172,competitive,6,Raises Special Attack by two stages upon having any stat lowered.
173,strong-jaw,6,Strengthens biting moves to 1.5× their power.
174,refrigerate,6,Turns the bearer's Normal moves into Ice moves and strengthens them to 1.3× their power.
175,sweet-veil,6,Prevents friendly Pokémon from sleeping.
176,stance-change,6,"Changes Aegislash to Blade Forme before using a damaging move, or Shield Forme before using King’s Shield."
177,gale-wings,6,Raises Flying moves' priority by one stage.
178,mega-launcher,6,Strengthens aura and pulse moves to 1.5× their power.
179,grass-pelt,6,Boosts Defense while Grassy Terrain is in effect.
180,symbiosis,6,Passes the bearer's held item to an ally when the ally uses up its item.
181,tough-claws,6,Strengthens moves that make contact to 1.33× their power.
182,pixilate,6,Turns the bearer's Normal moves into Fairy moves and strengthens them to 1.3× their power.
183,gooey,6,Lowers attacking Pokémon's Speed by one stage on contact.
184,aerilate,6,Turns the bearer's Normal moves into Flying moves and strengthens them to 1.3× their power.
185,parental-bond,6,Lets the bearer hit twice with damaging moves.  The second hit has half power.
186,dark-aura,6,Strengthens Dark moves to 1.33× their power for all friendly and opposing Pokémon.
187,fairy-aura,6,Strengthens Fairy moves to 1.33× their power for all friendly and opposing Pokémon.
188,aura-break,6,Makes Dark Aura and Fairy Aura weaken moves of their respective types.
189,primordial-sea,6,"Creates heavy rain, which has all the properties of Rain Dance, cannot be replaced, and causes damaging Fire moves to fail."
190,desolate-land,6,"Creates extremely harsh sunlight, which has all the properties of Sunny Day, cannot be replaced, and causes damaging Water moves to fail."
191,delta-stream,6,"Creates a mysterious air current, which cannot be replaced and causes moves to never be super effective against Flying Pokémon."
192,stamina,7,Raises this Pokémon's Defense by one stage when it takes damage from a move.
193,wimp-out,7,This Pokémon automatically switches out when its HP drops below half.
194,emergency-exit,7,This Pokémon automatically switches out when its HP drops below half.
195,water-compaction,7,Raises this Pokémon's Defense by two stages when it's hit by a Water move.
196,merciless,7,This Pokémon's moves critical hit against poisoned targets.
197,shields-down,7,Transforms this Minior between Core Form and Meteor Form.  Prevents major status ailments and drowsiness while in Meteor Form.
198,stakeout,7,This Pokémon's moves have double power against Pokémon that switched in this turn.
199,water-bubble,7,"Halves damage from Fire moves, doubles damage of Water moves, and prevents burns."
200,steelworker,7,This Pokémon's Steel moves have 1.5× power.
201,berserk,7,Raises this Pokémon's Special Attack by one stage every time its HP drops below half.
202,slush-rush,7,"During Hail, this Pokémon has double Speed."
203,long-reach,7,This Pokémon's moves do not make contact.
204,liquid-voice,7,Sound-based moves become Water-type.
205,triage,7,This Pokémon's healing moves have their priority increased by 3.
206,galvanize,7,This Pokémon's Normal moves are Electric and have their power increased to 1.2×.
207,surge-surfer,7,Doubles this Pokémon's Speed on Electric Terrain.
208,schooling,7,Wishiwashi becomes Schooling Form when its HP is 25% or higher.
209,disguise,7,Prevents the first instance of battle damage.
210,battle-bond,7,Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.
211,power-construct,7,Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.
212,corrosion,7,This Pokémon can inflict poison on Poison and Steel Pokémon.
213,comatose,7,This Pokémon always  acts as though it were Asleep.
214,queenly-majesty,7,Opposing Pokémon cannot use priority attacks.
215,innards-out,7,"When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining."
216,dancer,7,"Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards."
217,battery,7,Ally Pokémon's moves have their power increased to 1.3×.
218,fluffy,7,Damage from contact moves is halved.  Damage from Fire moves is doubled.
219,dazzling,7,Opposing Pokémon cannot use priority attacks.
220,soul-heart,7,This Pokémon's Special Attack rises by one stage every time any Pokémon faints.
221,tangling-hair,7,"When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage."
222,receiver,7,"When an ally faints, this Pokémon gains its Ability."
223,power-of-alchemy,7,"When an ally faints, this Pokémon gains its Ability."
224,beast-boost,7,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.
225,rks-system,7,Changes this Pokémon's type to match its held Memory.
226,electric-surge,7,"When this Pokémon enters battle, it changes the terrain to Electric Terrain."
227,psychic-surge,7,"When this Pokémon enters battle, it changes the terrain to Psychic Terrain."
228,misty-surge,7,"When this Pokémon enters battle, it changes the terrain to Misty Terrain."
229,grassy-surge,7,"When this Pokémon enters battle, it changes the terrain to Grassy Terrain."
230,full-metal-body,7,Other Pokémon cannot lower this Pokémon's stats.
231,shadow-shield,7,"When this Pokémon has full HP, regular damage from moves is halved."
232,prism-armor,7,Reduces super-effective damage to 0.75×.
233,neuroforce,7,Increases super-effective damage dealt to 1.25×.
234,intrepid-sword,8,Boosts Attack in battle.
235,dauntless-shield,8,Boosts Defense in battle.
236,libero,8,Libero changes the Pokémon's type to that of its previously used attack.
237,ball-fetch,8,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle."
238,cotton-down,8,When Ignores moves and abilities that draw in moves.
239,propeller-tail,8,Ignores moves and abilities that draw in moves.
240,mirror-armor,8,Reflects any stat-lowering effects.
241,gulp-missile,8,"If a Cramorant with Gulp Missile uses Surf or Dive, it catches prey and changes its form depending on its remaining HP."
242,stalwart,8,Ignores moves and abilities that draw in moves.
243,steam-engine,8,Boosts the Speed stat drastically when the Pokémon is hit by a Fire- or Water-type move.
244,punk-rock,8,Boosts sound-based moves and halves damage from the same moves.
245,sand-spit,8,Creates a sandstorm when hit by an attack.
246,ice-scales,8,Halves damage from Special moves.
247,ripen,8,Doubles the effect of berries.
248,ice-face,8,"The Pokémon’s ice head can take a physical attack as a substitute, but the attack also changes the Pokémon’s appearance. The ice will be restored when it snows."
249,power-spot,8,Just being next to the Pokémon powers up moves.
250,mimicry,8,Changes type depending on the terrain.
251,screen-cleaner,8,"Nullifies effects of Light Screen, Reflect, and Aurora Veil."
252,steely-spirit,8,Powers up ally Pokémon's Steel-type moves.
253,perish-body,8,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle."
254,wandering-spirit,8,Swaps abilities with opponents on contact.
255,gorilla-tactics,8,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.
256,neutralizing-gas,8,Neutralizes abilities of all Pokémon in battle.
257,pastel-veil,8,Prevents the Pokémon and its allies from being poisoned.
258,hunger-switch,8,"Causes Morpeko to change its form each turn, alternating between Full Belly Mode and Hangry Mode"
259,quick-draw,8,Enables the Pokémon to move first occasionally.
260,unseen-fist,8,Contact moves can strike through Protect/Detect.
261,curious-medicine,8,Resets all stat changes upon entering battlefield.
262,transistor,8,Powers up Electric-type moves.
263,dragons-maw,8,Powers up Dragon-type moves.
264,chilling-neigh,8,Boosts Attack after knocking out a Pokémon.
265,grim-neigh,8,Boosts Special Attack after knocking out a Pokémon.
266,as-one-glastrier,8,Combines the effects of Unnerve and Chilling Neigh.
267,as-one-spectrier,8,Combines the effects of Unnerve and Grim Neigh.
268,lingering-aroma,9,Contact changes the attacker's Ability to Lingering Aroma.
269,seed-sower,9,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.
270,thermal-exchange,9,Raises Attack when hit by a Fire-type move. Cannot be burned.
271,anger-shell,9,"When the Pokémon's HP drops below half, Anger Shell lowers its Defense and Special Defense but its Attack, Special Attack and Speed are raised."
272,purifying-salt,9,Protects from status conditions and halves damage from Ghost-type moves.
273,well-baked-body,9,"Immune to Fire-type moves, and Defense is sharply boosted."
274,wind-rider,9,"Gives immunity to wind moves, and causes the Pokémon's Attack to increase by one stage when hit by one."
275,guard-dog,9,"Boosts Attack if intimidated, and prevents being forced to switch out."
276,rocky-payload,9,Powers up Rock-type moves.
277,wind-power,9,"When hit by a wind move, the power of the next Electric-type move it uses is doubled."
278,zero-to-hero,9,Transforms into its Hero Form when switching out.
279,commander,9,Goes inside the mouth of an ally Dondozo if one is on the field.
280,electromorphosis,9,"When hit by an attack, the power of the next Electric-type move it uses is doubled."
281,protosynthesis,9,"Raises highest stat in harsh sunlight, or if holding Booster Energy."
282,quark-drive,9,"Raises highest stat on Electric Terrain, or if holding Booster Energy."
283,good-as-gold,9,Gives immunity to status moves.
284,vessel-of-ruin,9,Lowers Special Attack of all Pokémon except itself.
285,sword-of-ruin,9,Lowers Defense of all Pokémon except itself.
286,tablets-of-ruin,9,Lowers Attack of all Pokémon except itself.
287,beads-of-ruin,9,Lowers Special Defense of all Pokémon except itself.
288,orichalcum-pulse,9,"Turns the sunlight harsh when entering battle, and boosts Attack while active."
289,hadron-engine,9,"Creates an Electric Terrain when entering battle, and boosts Special Attack while active."
290,opportunist,9,Copies stat boosts by the opponent.
291,cud-chew,9,Causes the Pokémon to reuse an already consumed Berry at the end of the next turn.
292,sharpness,9,Powers up slicing moves.
293,supreme-overlord,9,Attack and Special Attack are boosted for each party Pokémon that has been defeated.
294,costar,9,Copies ally's stat changes on entering battle.
295,toxic-debris,9,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.
296,armor-tail,9,"Prevents the opponent from using any moves that have priority, such as Quick Attack."
297,earth-eater,9,Restores HP when hit by a Ground-type move.
298,mycelium-might,9,"Status moves go last, but are not affected by the opponent's ability."
299,minds-eye,9,"The Pokémon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal- and Fighting-type moves."
300,supersweet-syrup,9,"Once per battle, when a Pokémon with Supersweet Syrup enters the battle, it lowers the evasion stat of all adjacent opponents by one stage. "
301,hospitality,9,"When a Pokémon with Hospitality enters a battle, it restores HP for an ally by 25%."
302,toxic-chain,9,May cause bad poisoning when the Pokémon hits an opponent with a move.
303,embody-aspect,9,"Embody Aspect boosts a particular stat, depending on the form of a Terastallized Ogerpon"
304,tera-shift,9,"When Terapagos enters the battle, it turns into its Terastal Form until the end of the battle. "
305,tera-shell,9,All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.
306,teraform-zero,9,"As soon as Terapagos assumes its Stellar Form, it will immediately neutralize weather and terrain effects. "
307,poison-puppeteer,9,Pokémon poisoned by Pecharunt's moves will also become confused.
308,piercing-drill,9,"When the Pokémon uses contact moves, it can hit even targets that are protecting themselves."
309,dragonize,9,The Pokémon's Normal-type moves become Dragon-type moves and their power is boosted by 20%.
310,mega-sol,9,The Pokémon can use its moves as if the weather were harsh sunlight.
311,spicy-spray,9,"When the Pokémon takes damage from a move, it burns the attacker."
312,eelevate,9,"The Pokémon floats off the ground, making it immune to Ground-type moves, as well as the Spikes, Toxic Spikes, and Sticky Web statuses. When the Pokémon knocks out a target with an attack, its highest stat is boosted by 1 stage."
313,fire-mane,9,Boosts the power of the Pokémon's Fire-type moves by 50%.
